Date,Open,High,Low,Close,Adj Close,Volume
"Jun 13, 2025",199.73,200.37,195.70,196.45,196.45,"51,447,300"
"Jun 12, 2025",199.08,199.68,197.36,199.20,199.20,"43,904,600"
"Jun 11, 2025",203.50,204.50,198.41,198.78,198.78,"60,989,900"
"Jun 10, 2025",200.60,204.35,200.57,202.67,202.67,"54,672,600"
"Jun 9, 2025",204.39,206.00,200.02,201.45,201.45,"72,862,600"
"Jun 6, 2025",203.00,205.70,202.05,203.92,203.92,"46,607,700"
"Jun 5, 2025",203.50,204.75,200.15,200.63,200.63,"55,126,100"
"Jun 4, 2025",202.91,206.24,202.10,202.82,202.82,"43,604,000"
"Jun 3, 2025",201.35,203.77,200.96,203.27,203.27,"46,381,600"
"Jun 2, 2025",200.28,202.13,200.12,201.70,201.70,"35,423,300"
"May 30, 2025",199.37,201.96,196.78,200.85,200.85,"70,819,900"
"May 29, 2025",203.58,203.81,198.51,199.95,199.95,"51,396,800"
"May 28, 2025",200.59,202.73,199.90,200.42,200.42,"45,339,700"
"May 27, 2025",198.30,200.74,197.43,200.21,200.21,"56,288,500"
"May 23, 2025",193.67,197.70,193.46,195.27,195.27,"78,432,900"
"May 22, 2025",200.71,202.75,199.70,201.36,201.36,"46,742,400"
"May 21, 2025",205.17,207.04,200.71,202.09,202.09,"59,211,800"
"May 20, 2025",207.67,208.47,205.03,206.86,206.86,"42,496,600"
"May 19, 2025",207.91,209.48,204.26,208.78,208.78,"46,140,500"
"May 16, 2025",212.36,212.57,209.77,211.26,211.26,"54,737,900"
"May 15, 2025",210.95,212.96,209.54,211.45,211.45,"45,029,500"
"May 14, 2025",212.43,213.94,210.58,212.33,212.33,"49,325,800"
"May 13, 2025",210.43,213.40,209.00,212.93,212.93,"51,909,300"
"May 12, 2025",210.97,211.27,206.75,210.79,210.79,"63,775,800"
"May 9, 2025",199.00,200.54,197.54,198.53,198.27,"36,453,900"
"May 8, 2025",197.72,200.05,194.68,197.49,197.23,"50,478,900"
"May 7, 2025",199.17,199.44,193.25,196.25,195.99,"68,536,700"
"May 6, 2025",198.21,200.65,197.02,198.51,198.25,"51,216,500"
"May 5, 2025",203.10,204.10,198.21,198.89,198.63,"69,018,500"
"May 2, 2025",206.09,206.99,202.16,205.35,205.08,"101,010,600"
"May 1, 2025",209.08,214.56,208.90,213.32,213.04,"57,365,700"
"Apr 30, 2025",209.30,213.58,206.67,212.50,212.22,"52,286,500"
"Apr 29, 2025",208.69,212.24,208.37,211.21,210.93,"36,827,600"
"Apr 28, 2025",210.00,211.50,207.46,210.14,209.86,"38,743,100"
"Apr 25, 2025",206.37,209.75,206.20,209.28,209.01,"38,222,300"
"Apr 24, 2025",204.89,208.83,202.94,208.37,208.10,"47,311,000"
"Apr 23, 2025",206.00,208.00,202.80,204.60,204.33,"52,929,200"
"Apr 22, 2025",196.12,201.59,195.97,199.74,199.48,"52,976,400"
"Apr 21, 2025",193.27,193.80,189.81,193.16,192.91,"46,742,500"
"Apr 17, 2025",197.20,198.83,194.42,196.98,196.72,"51,334,300"
"Apr 16, 2025",198.36,200.70,192.37,194.27,194.02,"59,732,400"
"Apr 15, 2025",201.86,203.51,199.80,202.14,201.88,"51,343,900"
